,designer_cat,clothing_type_master,size_list,color,price,title,condition,shipping_from,seller_name,seller_transactions,seller_feedback,seller_listings,like_amount,number_of_photos,new_price,seller_rating,item_description,likes,shipping_cost
0,"Patagonia , Sportswear , ",Vl4Si8zC7Q,Size: US L / EU 52-54 / 3,Color: Black,$90,Patagonia Nano Puff Vest Large Black Primaloft Down Full Zip,Condition: Used,,"zurc_vntg
(881)",(881),418 Feedback,565 Listings for Sale,,,$90,,"Patagonia Nano Puff Vest Large Black Primaloft Down Full Zip Outerwear Hiking

The vest is in good condition with no stains but has tiny hole along front zipper (Measurements in photo with size tag).

Will be shipped the Same or following day of purchase. Feel free to message me with any questions.",1,+$9
1,"Outdoor Life , Patagonia , Streetwear , ",,Size: US L / EU 52-54 / 3,Color: Black,$165,Patagonia Nano Puff Brick Jacket Primaloft,Condition: Gently Used,,"DoYouKnowKoko
(254)",(254),131 Feedback,351 Listings for Sale,,,$165,,"Light and warm basic jacket.
Primaloft insulation. Pure style.
I have another one like this in M size.

Excellent condition, without signs of wearing.

Look photos carefully, please.

Size on tag: L, it may be good for L-XL, better check measurements.
I’m 180 cm/ 75 kg on photos.

Without returns, look all photos and check measurements. Write me to ask any question before offering.

Don’t send offers “just to check” or will be banned.

We use standard international postage service. All items will be send in the period of 2 working days, after this we have no any influence on quality of postage services working and don't take responsibility for different delivery delays.

Average terms of shipping:
We are asking you for being patient, we can meet with delivery delays because of COVID19 and general situation in the world!
USA, UK and most EU and Asia countries: 10-30 days.
Canada, Australia: 20 - 40 days, because of difficulties on postage services.

If you need purchased item necessary you can make extra payment and receive it via DHL\FedEx\etc (it's really expensive). So if you are not ready to wait during this terms and don't want to extrapay don't buy, please.

WE WILL NOT MAKE REFUND IN CASE OF LONG SHIPPING.

Follow and look my other items.",3,+$15
2,"Outdoor Life , Patagonia , ",,Size: US M / EU 48-50 / 2,Color: Black,$155,Patagonia Nano Puff Brick Jacket Primaloft,Condition: Gently Used,,"DoYouKnowKoko
(254)",(254),131 Feedback,351 Listings for Sale,,,$155,,"Light and warm basic jacket.
Primaloft insulation. Pure style.
I have another one like this in L size.

Very good used condition, with only minimal signs of wearing, nothing critical, without stains holes.

Look photos carefully, please.

Size on tag: M, it may be good for M-L, better check measurements.
I’m 180 cm/ 75 kg on photos.

70 cm - backside length
56 cm - pit to pit
46 cm - shoulders
70 cm - sleeve length from shoulder
84 cm - sleeve length from collar

Without returns, look all photos and check measurements. Write me to ask any question before offering.

Don’t send offers “just to check” or will be banned.

We use standard international postage service. All items will be send in the period of 2 working days, after this we have no any influence on quality of postage services working and don't take responsibility for different delivery delays.

Average terms of shipping:
We are asking you for being patient, we can meet with delivery delays because of COVID19 and general situation in the world!
USA, UK and most EU and Asia countries: 10-30 days.
Canada, Australia: 20 - 40 days, because of difficulties on postage services.

If you need purchased item necessary you can make extra payment and receive it via DHL\FedEx\etc (it's really expensive). So if you are not ready to wait during this terms and don't want to extrapay don't buy, please.

WE WILL NOT MAKE REFUND IN CASE OF LONG SHIPPING.

Follow and look my other items.",1,+$15
3,"Patagonia , ",,Size: US L / EU 52-54 / 3,Color: Blue,$200,Patagonia Nano Puff Hoody Jacket,Condition: New,,"harns1
(110)",(110),55 Feedback,77 Listings for Sale,,,$200,,"Patagonia Nano Puff Hoody
New x Never Worn (No tags)
Blue
Men’s XL
2 exterior pockets, 1 interior, all Zip

**ALL SALES ARE FINAL**",8,+$8
4,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Noir,$120,Patagonia nano puff jacket,Condition: Gently Used,,"VintageNOMAD
(2)",(2),4 Feedback,129 Listings for Sale,,,$120,,NWT,2,+$7
5,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: Grey,$180,Patagonia Nano Puff Parka,Condition: Gently Used,,"annabellesaleh
(1)",(1),16 Feedback,97 Listings for Sale,,,$180,,"Patagonia Nano Puff Blue Down Jacket Size XL
Our climber-designed Nano Puff® insulation remains a modern classic: sleek, lightweight and
warm. Worn as an outer or midlayer, these jackets and vests block wind, shed snow and trap
heat—even when wet. Insulated with synthetic PrimaLoft® Gold insulation (60-g) with a 100%
recycled polyester shell that’s treated with a DWR (durable water repellent) finish, they are free
of bulk and super compressible. We recently improved the shape and fit, resized the brick quilt
pattern, and added a soft, wicking interior storm flap and zipper garage. Styles stuff into their
own zippered chest pockets (with clip-in loop). Elasticized cuffs on the jackets and drawcord
hems on both pieces seal in warmth. Regular fit. (Logo left chest.) Made in Vietnam.

Excellent used condition, without any defects!

PLEASE CHECK MEASUREMENTS!!
pit2 pit: 25'1"" inches \ 64 cm
length on the back: 29'9"" inches \ 76 cm
shoulders: 19'6"" inches \ 50 cm
sleeve from shoulder: 27'9"" inches \ 71 cm

!!!If u have any questions please contact me before purchase!!!",5,+$9
6,"Patagonia , ",,Size: US M / EU 48-50 / 2,Color: Orange,$162,Patagonia nano puff jacket- color Mango- NWT,Condition: New,,"MrMikeArchiveCollective
(117)",(117),62 Feedback,65 Listings for Sale,,,$162,,"Used condition - has visible signs of wear and small holes on the upper back.

Please pay attention to the pictures to get a better idea of how the vest looks like in real life.

Tag size XXL.

Message me for measurements or questions and send your best offer.

Shipped ASAP.

Before hitting the offer button, read the below:

I don't ship from Europe, so if you're worried about location - ask me first;

Worldwide shipping times may vary depending on your country - ask me first;

Orders are sent as gifts - meaning no customs fee, but if any questions - ask me first.

All sales are final.",7,+$20
7,"Patagonia , ",,Size: US XL / EU 56 / 4,Color: Blue,$135,Patagonia Nano Puff Blue Jacket Size XL AS NEW!!,Condition: Gently Used,,"jozafvaici6356
(59)",(59),133 Feedback,13847 Listings for Sale,,,$135,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: Small, see measurements for fit

- Color: Blue

- Condition: Pre-owned, light wear. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 20"" inches
Length (top to bottom) = 25 1/2"" inches
Shoulders (seam to seam) = 16 1/2"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",4,+$21
8,"Patagonia , ",,Size: US XXL / EU 58 / 5,Color: Multicolor,$40,Patagonia Nano Puff Vest,Condition: Used,,"youreyeah
(132)",(132),133 Feedback,13847 Listings for Sale,,,$40,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: Medium, see measurements for fit

- Color: Black

- Condition: Pre-owned, lightly worn. Has a company logo on the back neck area. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 21"" inches
Length (top to bottom) = 27"" inches
Shoulders (seam to seam) = 17"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",3,+$5
9,"Patagonia , ",,Size: US S / EU 44-46 / 1,Color: White,$144,Patagonia Nano Puff Vest Mens Size S Blue Primaloft 84241,Condition: Used,,"lucidstock
(446)",(446),133 Feedback,13847 Listings for Sale,,,$144,,"Untitled Document
CATCH + RELEASE

PATAGONIA NANO PUFF VEST

- Size: Large, see measurements for fit

- Color: Black

- Condition: Pre-owned, lightly worn. Has a company logo on the chest. See all photos for condition.

MEASUREMENTS

Chest (pit to pit) = 23"" inches
Length (top to bottom) = 28"" inches
Shoulders (seam to seam) = 18"" inches
Sleeve (shoulder to cuff) = N/A

SHIPPING

We have a handling time of one business day. International orders are shipped using eBay's global shipping program.

PAYMENTS

Paypal and all major credit cards are accepted.

RETURNS

All sales are final.",1,+$5
